score,axe_detecte,dutreil_probable,signaux_dutreil,denomination,raison_sociale,siren,siret_siege,naf,naf_libelle,categorie,tranche_effectif,tranche_effectif_libelle,annee_effectif,etablissements_ouverts,date_creation,date_maj_rne,adresse_siege,code_postal,commune,departement,siege_dans_zone,dirigeants,dirigeant_age_max,nature_juridique,tel_portable,tel_fixe,email,url_pappers,url_societe,statut_suivi,prochaine_action
6,INDUSTRIE?,non,,ALTHEA FRANCE (ALTHEA FRANCE),ALTHEA FRANCE,452903032,45290303200103,33.13Z,Réparation d'équipements électroniques et optiques,PME,22,100 à 199 salariés,2023,4,2004-04-05,2024-05-19T17:01:20,LES BUREAUX VERTS 16 RUE PROFESSEUR DEPERET 69160 TASSIN-LA-DEMI-LUNE,69160,TASSIN-LA-DEMI-LUNE,69,oui,STEFANO MAZZA (45 ans) — Gérant ; RAFAEL PROVENCIO RODRIGUEZ (57 ans) — Gérant ; PIETRO TORRUSIO (80 ans) — Gérant ; AUDITEX (SIREN 377652938) — Commissaire aux comptes suppléant ; ERNST & YOUNG ET AUTRES (SIREN 438476913) — Commissaire aux comptes titulaire,80,5499,,,,https://www.pappers.fr/entreprise/452903032,https://www.societe.com/societe/-452903032.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,ASERTI ELECTRONIC,ASERTI ELECTRONIC,384491114,38449111400094,33.13Z,Réparation d'équipements électroniques et optiques,PME,12,20 à 49 salariés,2023,17,1992-01-20,2024-05-19T17:01:20,PARC INNOVATION BGNE SUD 1 RUE HENRI BECQUEREL 56000 VANNES,56000,VANNES,56,non,MICHEL KERSCAVEN (KERSCAVEN) (79 ans) — Président du conseil d'administration ; KPMG S.A. (SIREN 775726417) — Commissaire aux comptes titulaire ; ASERTI INTERNATIONAL (SIREN 831323589) — Président de SAS,79,5710,,,,https://www.pappers.fr/entreprise/384491114,https://www.societe.com/societe/-384491114.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,CIERGERIE BROUSSE ET FILS,CIERGERIE BROUSSE ET FILS,333428092,33342809200097,32.99Z,,PME,12,20 à 49 salariés,2023,7,1985-07-02,2024-05-19T17:01:20,ZAC DE LA NAU 19240 SAINT-VIANCE,19240,SAINT-VIANCE,19,non,DENIS BROUSSE (BROUSSE) (60 ans) — Gérant ; BROUSSE DENIS (60 ans) — Président de SAS,60,5710,,,,https://www.pappers.fr/entreprise/333428092,https://www.societe.com/societe/-333428092.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,CONFISERIE DU ROY RENE,CONFISERIE DU ROY RENE,621620921,62162092100075,10.82Z,,PME,22,100 à 199 salariés,2023,14,1962-01-01,2024-05-19T17:01:20,RD 7N - CS 40001 5380 ROUTE D'AVIGNON 13100 AIX-EN-PROVENCE,13100,AIX-EN-PROVENCE,13,oui,JACQUES GACHET (70 ans) — Commissaire aux comptes suppléant ; LAURE PIERRISNARD (MALJEAN) (53 ans) — Directeur Général ; OLIVIER BAUSSAN (SIREN 391916210) — Président de SAS ; AUDINYS (SIREN 805367166) — Commissaire aux comptes titulaire,70,5710,,,,https://www.pappers.fr/entreprise/621620921,https://www.societe.com/societe/-621620921.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,ETABLISSEMENTS JUNG MASSARONI,ETABLISSEMENTS JUNG MASSARONI,815036827,81503682700096,14.13Z,,PME,12,20 à 49 salariés,2023,13,2015-12-01,2024-05-19T17:01:20,402 PARC ACTIVITES PLATEAU DE SIGNES 2600 RD 12 LOT QUEUE DE SARTAN BT C 83870 SIGNES,83870,SIGNES,83,non,FREDERIC MASSARONI (60 ans) — Président de SAS ; A.A.C.C. (SIREN 484956198) — Commissaire aux comptes titulaire ; VISTA AUDIT (SIREN 788999779) — Commissaire aux comptes suppléant ; GMBH (SIREN 890256852) — ,60,5710,,,,https://www.pappers.fr/entreprise/815036827,https://www.societe.com/societe/-815036827.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,GOUT DE PAIN,GOUT DE PAIN,498714294,49871429400010,10.71C,,PME,11,10 à 19 salariés,2023,4,2007-06-26,2024-05-19T17:01:20,LES FRUITIERS 105 AVENUE DE BREDASQUE 13090 AIX-EN-PROVENCE,13090,AIX-EN-PROVENCE,13,oui,FRANCIS PHILIPPE GRAU (57 ans) — Gérant,57,5499,,,,https://www.pappers.fr/entreprise/498714294,https://www.societe.com/societe/-498714294.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,HABASIT FRANCE,HABASIT FRANCE,314789546,31478954600152,22.19Z,,PME,21,50 à 99 salariés,2023,4,1979-01-01,2024-05-19T17:01:20,ZAC DE LA MER ROUGE 41 RUE ALFRED KASTLER 68200 MULHOUSE,68200,MULHOUSE,68,non,EMMANUEL CHRIST (54 ans) — Commissaire aux comptes titulaire ; SYLVIE DOMINIQUE OTT (60 ans) — Président de SAS ; NORME AUDIT (SIREN 791693369) — Commissaire aux comptes suppléant,60,5710,,,,https://www.pappers.fr/entreprise/314789546,https://www.societe.com/societe/-314789546.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,HUILES ESSEN LIVRA PHARM AROMA COSMO (HELPAC),HUILES ESSEN LIVRA PHARM AROMA COSMO,347975096,34797509600046,20.53Z,,PME,12,20 à 49 salariés,2023,4,1988-09-20,2024-05-19T17:01:20,LES CHAMPS ROUGES ZI DE CHAPPES 43390 AUZON,43390,AUZON,43,non,JEAN BRICE JOLY (69 ans) — Commissaire aux comptes suppléant ; H.S.N (SIREN 493738322) — Président de SAS ; FITECO (SIREN 557150067) — Commissaire aux comptes titulaire ; H.S.N. (SIREN ) — ,69,5710,,,,https://www.pappers.fr/entreprise/347975096,https://www.societe.com/societe/-347975096.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,PRESTO FUITES,PRESTO FUITES,302001102,30200110200128,33.11Z,Réparation d'ouvrages en métaux,PME,12,20 à 49 salariés,2023,9,1974-01-01,2024-05-19T17:01:20,PARC ACTIVITES DE L AERODR 76430 SAINT-ROMAIN-DE-COLBOSC,76430,SAINT-ROMAIN-DE-COLBOSC,76,non,DANIEL SYLVAIN PHILIPPE LAMOTTE (60 ans) — Gérant ; BEAS (SIREN 315172445) — Commissaire aux comptes suppléant ; DAVECC (SIREN 420154155) — Commissaire aux comptes titulaire,60,5499,,,,https://www.pappers.fr/entreprise/302001102,https://www.societe.com/societe/-302001102.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,SNDR EVOLUTION,SNDR EVOLUTION,824665392,82466539200018,13.30Z,,PME,21,50 à 99 salariés,2023,4,2016-12-28,2024-05-19T17:01:20,17 RUE THOMAS EDISON 25000 BESANCON,25000,BESANCON,25,non,GIANLUCA BERETTI (41 ans) — Président de SAS ; MATTEO FAURI (53 ans) — Directeur Général ; MURIEL NOUCHY (67 ans) — Commissaire aux comptes suppléant ; GVA AUDIT (SIREN 347496788) — Commissaire aux comptes titulaire,67,5710,,,,https://www.pappers.fr/entreprise/824665392,https://www.societe.com/societe/-824665392.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,SODICLAIR,SODICLAIR,343228987,34322898700016,13.92Z,,PME,21,50 à 99 salariés,2023,4,1987-01-01,2024-05-19T17:01:20,PONTAULT 28140 NOTTONVILLE,28140,NOTTONVILLE,28,non,GERARD BREAL (68 ans) — Commissaire aux comptes suppléant ; AGECLAIR (SIREN 449346345) — Président de SAS ; KPMG S.A (SIREN 775726417) — Commissaire aux comptes titulaire,68,5710,,,,https://www.pappers.fr/entreprise/343228987,https://www.societe.com/societe/-343228987.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,BRAND EQUITY EUROPEAN STRATEGIES (GROUPE MERCADIER) (BEES),BRAND EQUITY EUROPEAN STRATEGIES,480184928,48018492800020,20.30Z,,PME,12,20 à 49 salariés,2023,9,2005-01-04,2024-05-19T17:01:20,LES MILLES ZAC DE L ENFANT 120 RUE EMILIEN GAUTIER 13290 AIX-EN-PROVENCE,13290,AIX-EN-PROVENCE,13,oui,MX DEVELOPPEMENT (SIREN 894123520) — Président de SAS,,5710,,,,https://www.pappers.fr/entreprise/480184928,https://www.societe.com/societe/-480184928.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,CAP GENERATEUR,CAP GENERATEUR,494466188,49446618800047,33.20D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",PME,12,20 à 49 salariés,2023,4,2007-02-01,2024-05-19T17:01:20,CANNES LA BOCCA 2 ALLEE DES GABIANS 06150 CANNES,06150,CANNES,06,non,DOMINIQUE DAVID (57 ans) — Commissaire aux comptes titulaire ; AUDIT CONSEIL STE D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES (SIREN 340814995) — Commissaire aux comptes suppléant ; PROGRESSYS CAPITAL (SIREN 495030926) — Président de SAS,57,5710,,,,https://www.pappers.fr/entreprise/494466188,https://www.societe.com/societe/-494466188.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,DM REGULATION,DM REGULATION,703680504,70368050400098,33.20C,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels,PME,12,20 à 49 salariés,2023,4,1970-01-01,2024-05-19T17:01:20,17 RUE DE REVOLLON 38150 CHANAS,38150,CHANAS,38,oui,AUDIGEST (SIREN 330188699) — Commissaire aux comptes titulaire ; DMRS (SIREN 449177138) — Président de SAS,,5710,,,,https://www.pappers.fr/entreprise/703680504,https://www.societe.com/societe/-703680504.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,FIMO SAS,FIMO SAS,914903612,91490361200010,22.29A,,PME,12,20 à 49 salariés,2023,4,2022-06-23,2024-05-19T17:01:20,ESPACE GREEN PARC - BAT B ROUTE DE VILLEPECLE 91280 SAINT-PIERRE-DU-PERRAY,91280,SAINT-PIERRE-DU-PERRAY,91,non,STEFANO GHETTI (57 ans) — Administrateur ; SIMON GIRARD (62 ans) — Président de SAS ; LUCA TAMBERI (59 ans) — Administrateur ; FERCO (SIREN 652041146) — Commissaire aux comptes titulaire,62,5710,,,,https://www.pappers.fr/entreprise/914903612,https://www.societe.com/societe/-914903612.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,GAS BIJOUX (AMO),GAS BIJOUX,440266765,44026676500013,32.13Z,,PME,21,50 à 99 salariés,2023,16,2002-01-02,2024-05-19T17:01:20,4 RUE CLEMENCE 13006 MARSEILLE,13006,MARSEILLE,13,oui,MARIE-FREDERIQUE GAS (GAS) (51 ans) — Directeur Général ; OLIVIER GAS (49 ans) — Président de SAS ; FIDECOMPTA FIDUCIAIRE D EXPERTISE COMPTABLE (SIREN 064801152) — Commissaire aux comptes titulaire,51,5710,,,,https://www.pappers.fr/entreprise/440266765,https://www.societe.com/societe/-440266765.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,INCENDIE PROTECTION SECURITE (IPS),INCENDIE PROTECTION SECURITE,384507778,38450777800015,33.20B,Installation de machines et équipements mécaniques,PME,11,10 à 19 salariés,2023,9,1992-01-15,2024-05-19T17:01:20,61 RUE DE SOLESMES 59400 CAMBRAI,59400,CAMBRAI,59,non,PATRICK NICOLAS PASCAL BERGDOLL (60 ans) — Président de SAS ; DEIXIS (SIREN 508228426) — Commissaire aux comptes titulaire,60,5710,,,,https://www.pappers.fr/entreprise/384507778,https://www.societe.com/societe/-384507778.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,LABORATOIRE VILLANOVA (VILLANOVA OCULARISTES),LABORATOIRE VILLANOVA,339442477,33944247700065,32.50A,,PME,11,10 à 19 salariés,2023,5,1986-12-01,2024-05-19T17:01:20,27 B COURS GAMBETTA 34000 MONTPELLIER,34000,MONTPELLIER,34,non,JOSEPHA ALEXANDRA VILLANOVA (25 ans) — Gérant ; STEPHANE ANDRE LOUIS VILLANOVA (VILLANOVA) (68 ans) — Gérant ; VICTORIA EVELYNE VILLANOVA (31 ans) — Gérant,68,5499,,,,https://www.pappers.fr/entreprise/339442477,https://www.societe.com/societe/-339442477.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,LES GOURMANDISES DE LOUISE (RIEDERER),LES GOURMANDISES DE LOUISE,810436121,81043612100026,10.71D,,PME,12,20 à 49 salariés,2023,4,2015-03-24,2024-05-19T17:01:20,7 PETIT CHEMIN D'AIX PAYANNET 13120 GARDANNE,13120,GARDANNE,13,oui,BENJAMIN RAFFI SIMONIAN (40 ans) — Président de SAS,40,5710,,,,https://www.pappers.fr/entreprise/810436121,https://www.societe.com/societe/-810436121.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,PI-ELECTRONIQUE,PI-ELECTRONIQUE,326727484,32672748400049,28.23Z,,PME,21,50 à 99 salariés,2023,4,1983-02-01,2024-05-19T17:01:20,ZA COURTABOEUF N1 36 AVENUE DE LA BALTIQUE 91140 VILLEBON-SUR-YVETTE,91140,VILLEBON-SUR-YVETTE,91,non,JEAN-BAPTISTE JACOB (48 ans) — Commissaire aux comptes suppléant ; MIRA PAUKER (MILO) (90 ans) — Administrateur ; MR PAUKER MICHEL (66 ans) — Président du conseil d'administration et directeur général ; BENOIT PELISSIER DE FELIGONDE (65 ans) — Commissaire aux comptes suppléant ; PI INTERNATIONAL SITEC (SIREN 351386693) — Administrateur,90,5599,,,,https://www.pappers.fr/entreprise/326727484,https://www.societe.com/societe/-326727484.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,SAS CHOCOLATERIE DE PUYRICARD,SAS CHOCOLATERIE DE PUYRICARD,445388473,44538847300024,10.82Z,,PME,12,20 à 49 salariés,2023,20,2002-09-01,2024-05-19T17:01:20,QUAI MALIVERNY  LA PLANTATION AVENUE GEORGES DE FABRY 13540 AIX-EN-PROVENCE,13540,AIX-EN-PROVENCE,13,oui,DAMIEN BARGUES (38 ans) — Commissaire aux comptes titulaire ; YVES PEIRONE — Commissaire aux comptes titulaire ; MARC PETRILLO — Commissaire aux comptes suppléant ; CABINET LODO EXPERTISE COMPTABLE CONSEIL (SIREN 308336569) — Commissaire aux comptes suppléant ; PUYRICARD CORPORATE (SIREN 804336634) — Président de SAS,38,5710,,,,https://www.pappers.fr/entreprise/445388473,https://www.societe.com/societe/-445388473.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,SI-CREATIVE (COMME AVANT),SI-CREATIVE,500837612,50083761200067,20.42Z,,PME,21,50 à 99 salariés,2023,13,2007-11-06,2024-05-19T17:01:20,ZA L AGAVON 14 RUE EMILE ZOLA LE REPOS 13170 LES PENNES MIRABEAU,13170,LES PENNES MIRABEAU,13,oui,SILVIN FABIAN LAURET (42 ans) — Gérant ; NIL PARRA (39 ans) — Gérant,42,5499,,,,https://www.pappers.fr/entreprise/500837612,https://www.societe.com/societe/-500837612.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,TARPAIN,TARPAIN,852597780,85259778000018,10.71C,,PME,12,20 à 49 salariés,2023,5,2019-08-01,2024-05-19T17:01:20,29 RUE 3 FRERES BARTHELEMY 13006 MARSEILLE 6EME,13006,MARSEILLE 6EME,13,oui,VINCENT BIRON (42 ans) — Gérant ; REMI CERESOLA (44 ans) — Gérant,44,5499,,,,https://www.pappers.fr/entreprise/852597780,https://www.societe.com/societe/-852597780.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,TOILES DE MAYENNE,TOILES DE MAYENNE,735750143,73575014300019,13.92Z,,PME,21,50 à 99 salariés,2023,13,1957-01-01,2024-05-19T17:01:20,FONTAINE DANIEL 53100 SAINT-GEORGES-BUTTAVENT,53100,SAINT-GEORGES-BUTTAVENT,53,non,JEROME FRANCOIS LAURENT COUASNON (55 ans) — Président de SAS ; FITECO (SIREN 557150067) — Commissaire aux comptes titulaire,55,5710,,,,https://www.pappers.fr/entreprise/735750143,https://www.societe.com/societe/-735750143.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,TRVS,TRVS,424215507,42421550700064,33.12Z,Réparation de machines et équipements mécaniques,PME,12,20 à 49 salariés,2023,5,1999-10-10,2024-05-19T17:01:20,33 CHE DE ST HENRI 13016 MARSEILLE 16EME,13016,MARSEILLE 16EME,13,oui,TRVS MANAGEMENT (SIREN 820881795) — ,,5710,,,,https://www.pappers.fr/entreprise/424215507,https://www.societe.com/societe/-424215507.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
5,INDUSTRIE?,non,,XLG FRANCE,XLG FRANCE,348809450,34880945000219,33.12Z,Réparation de machines et équipements mécaniques,PME,12,20 à 49 salariés,2023,7,1989-01-01,2024-05-19T17:01:20,5 RUE ROGER SALENGRO 62410 HULLUCH,62410,HULLUCH,62,non,ADNAN UZUN (56 ans) — Gérant,56,5499,,,,https://www.pappers.fr/entreprise/348809450,https://www.societe.com/societe/-348809450.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
4,INDUSTRIE?,non,,D.NU.D,D.NU.D,440596179,44059617900059,14.19Z,,PME,11,10 à 19 salariés,2023,6,2002-01-07,2024-05-19T17:01:20,34 RUE PERIGNON 75015 PARIS,75015,PARIS,75,non,GEORGES VICIDOMINI (69 ans) — Gérant,69,5499,,,,https://www.pappers.fr/entreprise/440596179,https://www.societe.com/societe/-440596179.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
4,INDUSTRIE?,non,,FROMENTIERS CONCEPTS (FROMENTIERS CONCEPTS),FROMENTIERS CONCEPTS,819289604,81928960400012,10.71B,,PME,01,1 ou 2 salariés,2023,5,2016-02-25,2024-05-19T17:01:20,2 COTE DES TAILLADES 12200 SAINT-REMY,12200,SAINT-REMY,12,non,LOUIS WEIR BENNETT (38 ans) — Président de SAS ; ALEXANDRE ERNEST HUBERT JEAN VILGRAIN (70 ans) — Président du conseil d'administration ; LES FROMENTIERS DE FRANCE (SIREN 418066650) — Administrateur ; SALUSTRO REYDEL (SIREN 652044371) — Commissaire aux comptes suppléant ; KPMG SA (SIREN 775726417) — Commissaire aux comptes titulaire,70,5710,,,,https://www.pappers.fr/entreprise/819289604,https://www.societe.com/societe/-819289604.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
4,INDUSTRIE?,possible,"trio_familial(LEROUGEBENARD,3membres)",GLB (MOLINARD),GLB,326815370,32681537000019,20.42Z,,PME,12,20 à 49 salariés,2023,11,1983-01-01,2024-05-19T17:01:20,60 BOULEVARD VICTOR HUGO 06130 GRASSE,06130,GRASSE,06,non,CELIA ISABELLE MARTINE LEROUGE-BENARD (50 ans) — Administrateur ; CHARLOTTE MARINE DENISE MICHELLE LEROUGE-BENARD (46 ans) — Administrateur ; JEAN PIERRE GILLES HENRI LOUIS LEROUGE-BENARD (87 ans) — Directeur Général,87,5710,,,,https://www.pappers.fr/entreprise/326815370,https://www.societe.com/societe/-326815370.html,Identifié,Creuser succession familiale (Infogreffe + LinkedIn) puis qualifier
4,INDUSTRIE?,non,,GROUPE VEGA (GROUPE VEGA),GROUPE VEGA,422826255,42282625500016,23.64Z,,PME,11,10 à 19 salariés,2023,11,1999-04-07,2024-05-19T17:01:20,17 RUE DE L’INDUSTRIE 41220 SAINT-LAURENT-NOUAN,41220,SAINT-LAURENT-NOUAN,41,non,HERVE GRUMEAU (56 ans) — Directeur Général ; CLAUDEL PIERRE AUDIT (CPA) SARL (SIREN 492418678) — Commissaire aux comptes titulaire ; LYRAE (SIREN 901194530) — Président de SAS ; ALEGANCIA (SIREN ) — ,56,5710,,,,https://www.pappers.fr/entreprise/422826255,https://www.societe.com/societe/-422826255.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
